species,growth_form,source,,
Justicia hyssopifolia,Derived Woodiness,"F. Lens, unpublished data, Hooft van Huysduynen et al. 2021",,
Sambucus palmensis,Ancestral Woodiness,"F. Lens, unpublished data, Hooft van Huysduynen et al. 2021",,
Viburnum rugosum,Ancestral Woodiness,"F. Lens, unpublished data, Hooft van Huysduynen et al. 2021",,
Aizoanthemopsis hispanica,Annual Herbaceous,"F. Lens, unpublished data; 1",,
Aizoon canariense,Annual Herbaceous,"F. Lens, unpublished data; 2",,
Arthrocaulon macrostachyum,Perennial Herbaceous,"F. Lens, unpublished data; 3",,
Atriplex glauca,Perennial Herbaceous,"F. Lens, unpublished data; 4",,
Atriplex halimus,Perennial Herbaceous,"F. Lens, unpublished data; 5",,
Bassia tomentosa,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Bosea yervamora,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Chenopodiastrum coronopus,Annual Herbaceous,"F. Lens, unpublished data; 6",,
Chenopodiastrum murale,Annual Herbaceous,"F. Lens, unpublished data; 7",,
Chenopodium album,Annual Herbaceous,"F. Lens, unpublished data; 8",,
Chenopodium vulvaria,Annual Herbaceous,"F. Lens, unpublished data; 8",,
Oxybasis glauca,Annual Herbaceous,"F. Lens, unpublished data; 9",,
Oxybasis urbica,Annual Herbaceous,"F. Lens, unpublished data; 9",,
Patellifolia procumbens,Perennial Herbaceous,"F. Lens, unpublished data; 10",,
Salicornia perennis,Derived Woodiness,"F. Lens, unpublished data",,
Salsola divaricata,Derived Woodiness,"F. Lens, unpublished data",,
Salsola kali,Derived Woodiness,"F. Lens, unpublished data",,
Salsola oppositifolia,Derived Woodiness,NA,,
Traganum moquinii,Derived Woodiness,"F. Lens, unpublished data",,
Pistacia atlantica,Ancestral Woodiness,"F. Lens, unpublished data",,
Pistacia lentiscus,Ancestral Woodiness,"F. Lens, unpublished data",,
Rhus coriaria,Ancestral Woodiness,"F. Lens, unpublished data",,
Searsia albida,Ancestral Woodiness,"F. Lens, unpublished data",,
Ammi majus,Annual Herbaceous,"F. Lens, unpublished data; 11",,
Ammi procerum,Annual Herbaceous,"F. Lens, unpublished data; 12",,
Ammodaucus leucotrichus,Annual Herbaceous,"F. Lens, unpublished data; 13",,
Apium nodiflorum,Perennial Herbaceous,"F. Lens, unpublished data; 15",,
Helosciadium nodiflorum,Perennial Herbaceous,"F. Lens, unpublished data; 15",,
Astydamia latifolia,Perennial Herbaceous,"F. Lens, unpublished data; 16",,
Bupleurum handiense,Derived Woodiness,Hooft Van Huysduynen et al. 2021,,
Bupleurum salicifolium,Derived Woodiness,Hooft Van Huysduynen et al. 2021,,
Bupleurum semicompositum,Annual Herbaceous,"F. Lens, unpublished data; 17",,
Canaria tortuosa,Perennial Herbaceous,"F. Lens, unpublished data; 18",,
Rutheopsis tortuosa,Perennial Herbaceous,"F. Lens, unpublished data; 18",,
Conium maculatum,Perennial Herbaceous,"F. Lens, unpublished data; 19",,
Crithmum maritimum,Perennial Herbaceous,"F. Lens, unpublished data; 20",,
Daucus aureus,Perennial Herbaceous,"F. Lens, unpublished data; 21",,
Daucus carota,Perennial Herbaceous,"F. Lens, unpublished data; 21",,
Daucus elegans,Perennial Herbaceous,"F. Lens, unpublished data; 21",,
Drusa glandulosa,Annual Herbaceous,"F. Lens, unpublished data; 22",,
Foeniculum vulgare,Perennial Herbaceous,"F. Lens, unpublished data; 23",,
Rutheopsis herbanica,Perennial Herbaceous,"F. Lens, unpublished data; 18",,
Scandix pecten-veneris,Annual Herbaceous,"F. Lens, unpublished data; 24",,
Todaroa aurea,Perennial Herbaceous,"F. Lens, unpublished data; 25",,
Visnaga daucoides,Perennial Herbaceous,"F. Lens, unpublished data; 26",,
Apteranthes burchardii,Perennial Herbaceous,"F. Lens, unpublished data; 14",,
Ceropegia burchardii,Perennial Herbaceous,"F. Lens, unpublished data; 14",,
Ceropegia dichotoma,Ancestral Woodiness,"F. Lens, unpublished data",,
Ceropegia fusca,Ancestral Woodiness,"F. Lens, unpublished data",,
Periploca laevigata,Ancestral Woodiness,"F. Lens, unpublished data",,
Ilex canariensis,Ancestral Woodiness,"F. Lens, unpublished data",,
Ilex perado,Ancestral Woodiness,"F. Lens, unpublished data",,
Hedera canariensis,Ancestral Woodiness,"F. Lens, unpublished data",,
Aaronsohnia pubescens,Annual Herbaceous,"F. Lens, unpublished data; 27",,
Achillea maritima,Perennial Herbaceous,"F. Lens, unpublished data; 28",,
Achyrophorus valdesii,Annual Herbaceous,"F. Lens, unpublished data; 50",,
Allagopappus canariensis,Derived Woodiness,"F. Lens, unpublished data",,
Allagopappus viscosissimus,Derived Woodiness,"F. Lens, unpublished data",,
Anacyclus radiatus,Annual Herbaceous,"F. Lens, unpublished data; 29",,
Anacyclus clavatus,Annual Herbaceous,"F. Lens, unpublished data; 30",,
Anthemis arvensis,Annual Herbaceous,"F. Lens, unpublished data; 31",,
Argyranthemum adauctum,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum broussonetii,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum callichrysum,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum coronopifolium,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum escarrei,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum filifolium,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum foeniculaceum,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum frutescens,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum gracile,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum haouarytheum,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum hierrense,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum lemsii,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum lidii,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum maderense,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum sundingii,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum sventenii,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum tenerifae,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum vincentii,Insular Woodiness,NA,,
Argyranthemum webbii,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum winteri,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Artemisia ramosa,Ancestral Woodiness,"F. Lens, unpublished data",,
Artemisia reptans,Ancestral Woodiness,"F. Lens, unpublished data",,
Artemisia thuscula,Ancestral Woodiness,"F. Lens, unpublished data",,
Atractylis arbuscula,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Atractylis cancellata,Derived Woodiness,Hooft Van Huysduynen et al. 2021,,
Atractylis preauxiana,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Bellis annua,Annual Herbaceous,"F. Lens, unpublished data; 32",,
Bethencourtia hermosae,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Bethencourtia palmensis,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Bethencourtia rupicola,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Calendula arvensis,Annual Herbaceous,"F. Lens, unpublished data; 33",,
Calendula suffruticosa,Perennial Herbaceous,"F. Lens, unpublished data; 33",,
Calendula tripterocarpa,Annual Herbaceous,"F. Lens, unpublished data; 33",,
Carduncellus caeruleus,Perennial Herbaceous,34,,
Carthamus caeruleus,Perennial Herbaceous,34,,
Carthamus lanatus,Annual Herbaceous,34,,
Cheirolophus anagaensis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus arboreus,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus arbutifolius,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus burchardii,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus canariensis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus dariasii,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus duranii,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus falcisectus,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus ghomerythus,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus junonianus,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus metlesicsii,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus puntallanensis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus santos-abreui,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus satarataensis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus sventenii,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus tagananensis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus teydis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus webbianus,Derived Woodiness,"F. Lens, unpublished data",,
Chondrilla juncea,Perennial Herbaceous,"F. Lens, unpublished data; 35",,
Cichorium pumilum,Perennial Herbaceous,"F. Lens, unpublished data; 36",,
Cladanthus mixtus,Annual Herbaceous,"F. Lens, unpublished data; 37",,
Coleostephus myconis,Annual Herbaceous,"F. Lens, unpublished data; 38",,
Cynara cardunculus,Perennial Herbaceous,"F. Lens, unpublished data; 39",,
Cynara humilis,Perennial Herbaceous,"F. Lens, unpublished data; 40",,
Dittrichia viscosa,Perennial Herbaceous,"F. Lens, unpublished data; 41",,
Erigeron calderae,Perennial Herbaceous,"F. Lens, unpublished data; 42",,
Filago arvensis,Annual Herbaceous,"F. Lens, unpublished data; 43",,
Filago desertorum,Annual Herbaceous,"F. Lens, unpublished data; 43",,
Filago germanica,Annual Herbaceous,"F. Lens, unpublished data; 43",,
Filago lutescens,Annual Herbaceous,"F. Lens, unpublished data; 43",,
Filago pygmaea,Annual Herbaceous,"F. Lens, unpublished data; 43",,
Filago pyramidata,Annual Herbaceous,"F. Lens, unpublished data; 43",,
Galactites tomentosus,Annual Herbaceous,"F. Lens, unpublished data; 44",,
Geropogon hybridus,Annual Herbaceous,"F. Lens, unpublished data; 45",,
Gonospermum canariense,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Gonospermum ferulaceum,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Gonospermum fruticosum,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Gonospermum gomerae,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Gonospermum oshanahanii,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Gonospermum ptarmiciflorum,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Gonospermum revolutum,Perennial Herbaceous,Hooft Van Huysduynen et al. 2021; 46,,
Hedypnois rhagadioloides,Annual Herbaceous,"F. Lens, unpublished data; 47",,
Hedypnois arenaria,Annual Herbaceous,"F. Lens, unpublished data; 48",,
Helminthotheca echioides,Annual Herbaceous,"F. Lens, unpublished data; 49",,
Hypochaeris achyrophorus,Annual Herbaceous,"F. Lens, unpublished data; 50",,
Hypochaeris glabra,Annual Herbaceous,"F. Lens, unpublished data; 51",,
Hypochaeris oligocephala,? Herbaceous,"F. Lens, unpublished data",,
Hypochaeris radicata,Perennial Herbaceous,"F. Lens, unpublished data; 52",,
Hyoseris radiata,Perennial Herbaceous,"F. Lens, unpublished data; 53",,
Kleinia neriifolia,Derived Woodiness,"F. Lens, unpublished data",,
Lactuca palmensis,Perennial Herbaceous,"F. Lens, unpublished data; 54",,
Lactuca serriola,Annual Herbaceous,"F. Lens, unpublished data; 55",,
Lactuca viminea,Perennial Herbaceous,"F. Lens, unpublished data; 56",,
Lapsana communis,Annual Herbaceous,"F. Lens, unpublished data; 57",,
Leuzea cynaroides,Perennial Herbaceous,"F. Lens, unpublished data; 58",,
Logfia clementei,Annual Herbaceous,"F. Lens, unpublished data; 59",,
Logfia gallica,Annual Herbaceous,"F. Lens, unpublished data; 59",,
Logfia minima,Annual Herbaceous,"F. Lens, unpublished data; 59",,
Matricaria chamomilla,Annual Herbaceous,"F. Lens, unpublished data; 60",,
Notobasis syriaca,Annual Herbaceous,"F. Lens, unpublished data; 61",,
Pallenis hierochuntica,Annual Herbaceous,"F. Lens, unpublished data; 62",,
Pallenis maritima,Perennial Herbaceous,"F. Lens, unpublished data; 62",,
Pallenis spinosa,Annual Herbaceous,"F. Lens, unpublished data; 62",,
Pericallis appendiculata,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Pericallis cruenta,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Pericallis echinata,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Pericallis hadrosoma,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Pericallis hansenii,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Pericallis hillebrandii,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Pericallis lanata,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Pericallis multiflora,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Pericallis murrayi,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Pericallis papyracea,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Pericallis steetzii,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Pericallis tussilaginis,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Pericallis webbii,Perennial Herbaceous,"F. Lens, unpublished data; 63",,
Phagnalon purpurascens,Perennial Herbaceous,"F. Lens, unpublished data; 64",,
Phagnalon rupestre,Perennial Herbaceous,"F. Lens, unpublished data; 64",,
Phagnalon saxatile,Perennial Herbaceous,"F. Lens, unpublished data; 64",,
Phagnalon umbelliforme,Perennial Herbaceous,"F. Lens, unpublished data; 64",,
Picnomon acarna,Annual Herbaceous,"F. Lens, unpublished data; 65",,
Picris hieracioides,Perennial Herbaceous,"F. Lens, unpublished data; 66",,
Rhagadiolus stellatus,Annual Herbaceous,"F. Lens, unpublished data; 47",,
Scorzoneroides palisiae,Annual Herbaceous,"F. Lens, unpublished data; 67",,
Senecio bollei,Annual Herbaceous,"F. Lens, unpublished data; 69",,
Senecio flavus,Annual Herbaceous,"F. Lens, unpublished data; 68",,
Senecio glaucus,Annual Herbaceous,"F. Lens, unpublished data; 68",,
Senecio ilsae,Annual Herbaceous,"F. Lens, unpublished data; 69",,
Senecio incrassatus,Annual Herbaceous,"F. Lens, unpublished data",,
Senecio leucanthemifolius,Annual Herbaceous,"F. Lens, unpublished data; 68",,
Senecio massaicus,Annual Herbaceous,"F. Lens, unpublished data; 70",,
Senecio teneriffae,Annual Herbaceous,"F. Lens, unpublished data; 71",,
Senecio vulgaris,Annual Herbaceous,"F. Lens, unpublished data; 68",,
Silybum marianum,Perennial Herbaceous,"F. Lens, unpublished data; 72",,
Sonchus acaulis,Perennial Herbaceous,"F. Lens, pers. comm. 2022; 73",,
Sonchus arboreus,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus asper,Annual Herbaceous,"F. Lens, unpublished data; 74",,
Sonchus bornmuelleri,Perennial Herbaceous,"F. Lens, pers. comm. 2022; Bramwell and Bramwell 2001",,
Sonchus bourgeaui,Annual Herbaceous,Bramwell and Bramwell 2001; Hooft van Huysduynen et al. 2021; 180,,
Sonchus brachylobus,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus bupleuroides,Perennial Herbaceous,"F. Lens, pers. comm. 2022; 76",,
Sonchus canariensis,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus capillaris,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus congestus,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus esperanzae,Perennial Herbaceous,"F. Lens, unpublished data; 75",,
Sonchus fauces-orci,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus gandogeri,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus gomeraensis,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus gummifer,Perennial Herbaceous,"F. Lens, pers. comm. 2022; 76",,
Sonchus heterophyllus,Insular Woodiness,"Bramwell and Bramwell 2001; F. Lens, pers. comm. 2022",,
Sonchus hierrensis,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus leptocephalus,Insular Woodiness,"F. Lens, pers. comm. 2022",,
Sonchus lidii,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus microcarpus,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus oleraceus,Annual Herbaceous,"F. Lens, unpublished data; 74",,
Sonchus ortunoi,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus palmensis,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus pendulus,Insular Woodiness,"Bramwell and Bramwell 2001, F. Lens, pers. comm. 2022",,
Sonchus pinnatifidus,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus pitardii,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus platylepis,Perennial Herbaceous,"F. Lens, pers. comm. 2022; 76",,
Sonchus radicatus,Perennial Herbaceous,"F. Lens, pers. comm. 2022; 76",,
Sonchus regis-jubae,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Sonchus sventenii,Insular Woodiness,"Bramwell and Bramwell 2001, F. Lens, pers. comm. 2022",,
Sonchus tectifolius,Perennial Herbaceous,Bramwell and Bramwell 2001,,
Sonchus tenerrimus,Annual Herbaceous,"F. Lens, unpublished data; 77",,
Sonchus tuberifer,Perennial Herbaceous,Bramwell and Bramwell 2001; 75,,
Sonchus webbii,Perennial Herbaceous,Bramwell and Bramwell 2001; 73,,
Sonchus wildpretii,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Tolpis barbata,Annual Herbaceous,"F. Lens, unpublished data; 78",,
Tolpis calderae,Perennial Herbaceous,"F. Lens, unpublished data; 78",,
Tolpis coronopifolia,Annual Herbaceous,"F. Lens, unpublished data; 78",,
Tolpis crassiuscula,Perennial Herbaceous,"F. Lens, unpublished data; 78",,
Tolpis glabrescens,Perennial Herbaceous,"F. Lens, unpublished data; 78",,
Tolpis laciniata,Perennial Herbaceous,"F. Lens, unpublished data; 78",,
Tolpis lagopoda,Perennial Herbaceous,"F. Lens, unpublished data; 78",,
Tolpis proustii,Perennial Herbaceous,"F. Lens, unpublished data; 78",,
Tolpis santosii,Perennial Herbaceous,"F. Lens, unpublished data; 78",,
Tolpis umbellata,Annual Herbaceous,"F. Lens, unpublished data; 79",,
Tolpis webbii,Perennial Herbaceous,"F. Lens, unpublished data; 78",,
Tripleurospermum inodorum,Annual Herbaceous,"F. Lens, unpublished data; 80",,
Urospermum picroides,Annual Herbaceous,"F. Lens, unpublished data; 81",,
Vieraea laevigata,Derived Woodiness,"F. Lens, unpublished data",,
Volutaria bollei,Perennial Herbaceous,"F. Lens, unpublished data; 82",,
Volutaria canariensis,Annual Herbaceous,"F. Lens, unpublished data; 82",,
Volutaria lippii,Annual Herbaceous,"F. Lens, unpublished data; 82",,
Volutaria tubuliflora,Annual Herbaceous,"F. Lens, unpublished data; 82",,
Anchusa azurea,Annual Herbaceous,"F. Lens, unpublished data; 83",,
Arnebia decumbens,Perennial Herbaceous,"F. Lens, unpublished data; 84",,
Buglossoides arvensis,Annual Herbaceous,"F. Lens, unpublished data; 85",,
Cynoglossum creticum,Annual Herbaceous,"F. Lens, unpublished data; 86",,
Echium acanthocarpum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium aculeatum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium auberianum,Perennial Herbaceous,"F. Lens, unpublished data; 87",,
Echium bethencourtii,Insular Woodiness,"F. Lens, unpublished data; Hooft van Huysduynen et al. 2021",,
Echium bonnetii,Annual Herbaceous,"F. Lens, unpublished data; 87",,
Echium brevirame,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium callithyrsum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium decaisnei,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium giganteum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium handiense,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium hierrense,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium horridum,Annual Herbaceous,"F. Lens, unpublished data; 88",,
Echium leucophaeum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium onosmifolium,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium perezii,Insular Woodiness,Bramwell and Bramwell 2001,,
Echium pininana,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium pitardii,Annual Herbaceous,"F. Lens, unpublished data; 87",,
Echium plantagineum,Annual Herbaceous,"F. Lens, unpublished data; 87",,
Echium simplex,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium strictum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium sventenii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium thyrsiflorum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium triste,Annual Herbaceous,"F. Lens, unpublished data; 89",,
Echium virescens,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium webbii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Echium wildpretii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Mairetis microsperma,Annual Herbaceous,"F. Lens, unpublished data; 14",,
Neatostema apulum,Annual Herbaceous,"F. Lens, unpublished data; 90",,
Ogastemma pusillum,Annual Herbaceous,"F. Lens, unpublished data; 91",,
